scene_name,city,split,provider__Google_Satellite,provider__Bing_Satellite,provider__ESRI_Satellite,provider__Yandex_Satellite,provider__OSM_Standard,
chicago__location_151,chicago,train,1,1,1,1,1,
chicago__location_152,chicago,train,1,1,1,1,1,
chicago__location_153,chicago,train,1,1,1,1,1,
chicago__location_154,chicago,train,0,0,0,0,0,
chicago__location_155,chicago,train,1,1,1,1,1,
chicago__location_156,chicago,train,1,1,1,1,1,
chicago__location_157,chicago,train,1,1,1,1,1,
chicago__location_158,chicago,train,1,1,1,1,1,
chicago__location_159,chicago,train,1,1,1,1,1,
chicago__location_160,chicago,train,1,1,1,1,1,
chicago__location_161,chicago,train,1,1,1,1,1,
chicago__location_162,chicago,train,1,1,1,1,1,
chicago__location_163,chicago,train,1,1,1,1,1,
chicago__location_164,chicago,train,1,1,1,1,1,
chicago__location_165,chicago,train,1,1,1,1,1,
chicago__location_166,chicago,train,1,1,1,1,1,
chicago__location_167,chicago,train,1,1,1,1,1,
chicago__location_168,chicago,train,1,1,1,1,1,
chicago__location_169,chicago,train,1,1,1,1,1,
chicago__location_170,chicago,train,1,1,1,1,1,
chicago__location_171,chicago,train,1,1,1,1,1,
chicago__location_172,chicago,train,1,1,1,1,1,
chicago__location_173,chicago,train,1,1,1,1,1,
chicago__location_174,chicago,train,1,1,1,1,1,
chicago__location_175,chicago,train,1,1,1,1,1,
chicago__location_176,chicago,train,1,1,1,1,1,
chicago__location_177,chicago,train,1,1,1,1,1,
chicago__location_178,chicago,train,1,1,1,1,1,
chicago__location_179,chicago,train,1,1,1,1,1,
chicago__location_180,chicago,train,1,1,1,1,1,
chicago__location_181,chicago,train,1,1,1,1,1,
chicago__location_182,chicago,train,1,1,1,1,1,
chicago__location_183,chicago,train,1,1,1,1,1,
chicago__location_184,chicago,train,1,1,1,1,1,
chicago__location_185,chicago,train,1,1,1,1,1,
chicago__location_186,chicago,train,1,1,1,1,1,
chicago__location_187,chicago,train,1,1,1,1,1,
chicago__location_188,chicago,train,1,1,1,1,1,
chicago__location_189,chicago,train,1,1,1,1,1,
chicago__location_190,chicago,train,1,1,1,1,1,
chicago__location_191,chicago,train,1,1,1,1,1,
chicago__location_192,chicago,train,1,1,1,1,1,
chicago__location_193,chicago,train,1,1,1,1,1,
chicago__location_194,chicago,train,1,1,1,1,1,
chicago__location_195,chicago,train,1,1,1,1,1,
chicago__location_196,chicago,train,1,1,1,1,1,
chicago__location_197,chicago,train,1,1,1,1,1,
chicago__location_198,chicago,train,1,1,1,1,1,
chicago__location_199,chicago,train,1,1,1,1,1,
chicago__location_200,chicago,train,1,1,1,1,1,
chicago__location_201,chicago,train,1,1,1,1,1,
chicago__location_202,chicago,train,1,1,1,1,1,
chicago__location_203,chicago,train,1,1,1,1,1,
chicago__location_204,chicago,train,1,1,1,1,1,
chicago__location_205,chicago,train,1,1,1,1,1,
chicago__location_206,chicago,train,1,1,1,1,1,
chicago__location_207,chicago,train,1,1,1,1,1,
chicago__location_208,chicago,train,1,1,1,1,1,
chicago__location_209,chicago,train,1,1,1,1,1,
chicago__location_210,chicago,train,1,1,1,1,1,
chicago__location_211,chicago,train,1,1,1,1,1,
chicago__location_212,chicago,train,1,1,1,1,1,
chicago__location_213,chicago,train,1,1,1,1,1,
chicago__location_214,chicago,train,1,1,1,1,1,
chicago__location_215,chicago,train,1,1,1,1,1,
chicago__location_216,chicago,train,1,1,1,1,1,
chicago__location_217,chicago,train,1,1,1,1,1,
chicago__location_218,chicago,train,1,1,1,1,1,
chicago__location_219,chicago,train,1,1,1,1,1,
chicago__location_220,chicago,train,1,1,1,1,1,
chicago__location_221,chicago,train,1,1,1,1,1,
chicago__location_222,chicago,train,1,1,1,1,1,
chicago__location_223,chicago,train,1,1,1,1,1,
chicago__location_224,chicago,train,1,1,1,1,1,
chicago__location_225,chicago,train,1,1,1,1,1,
chicago__location_226,chicago,train,1,1,1,1,1,
chicago__location_227,chicago,train,1,1,1,1,1,
chicago__location_228,chicago,train,1,1,1,1,1,
chicago__location_229,chicago,train,1,1,1,1,1,
chicago__location_230,chicago,train,1,1,1,1,1,
chicago__location_231,chicago,train,1,1,1,1,1,
chicago__location_232,chicago,train,1,1,1,1,1,
chicago__location_233,chicago,train,1,1,1,1,1,
chicago__location_234,chicago,train,0,1,1,1,1,
chicago__location_235,chicago,train,1,1,1,1,1,
chicago__location_236,chicago,train,1,1,1,1,1,
chicago__location_237,chicago,train,1,1,1,1,1,
chicago__location_238,chicago,train,1,1,1,1,1,
chicago__location_239,chicago,train,1,1,1,1,1,
chicago__location_240,chicago,train,1,1,1,1,1,
chicago__location_241,chicago,train,1,1,1,1,1,
chicago__location_242,chicago,train,1,1,1,1,1,
chicago__location_243,chicago,train,1,1,1,1,1,
chicago__location_244,chicago,train,1,1,1,1,1,
chicago__location_245,chicago,train,1,1,1,1,1,
chicago__location_246,chicago,train,1,1,1,1,1,
chicago__location_247,chicago,train,1,1,1,1,1,
chicago__location_248,chicago,train,1,1,1,1,1,
chicago__location_249,chicago,train,1,1,1,1,1,
chicago__location_250,chicago,train,1,1,1,1,1,
chicago__location_251,chicago,train,1,1,1,1,1,
chicago__location_252,chicago,train,1,1,1,1,1,
chicago__location_253,chicago,train,1,1,1,1,1,
chicago__location_254,chicago,train,1,1,1,1,1,
chicago__location_255,chicago,train,1,1,1,1,1,
chicago__location_256,chicago,train,0,0,1,1,1,
chicago__location_257,chicago,train,1,1,1,1,1,
chicago__location_258,chicago,train,1,1,1,1,1,
chicago__location_259,chicago,train,1,1,1,1,1,
chicago__location_260,chicago,train,1,1,1,1,1,
chicago__location_261,chicago,train,1,1,1,1,1,
chicago__location_262,chicago,train,1,1,1,1,1,
chicago__location_263,chicago,train,1,1,1,1,1,
chicago__location_264,chicago,train,1,1,1,1,1,
chicago__location_265,chicago,train,1,1,1,1,1,
chicago__location_266,chicago,train,1,1,1,1,1,
chicago__location_267,chicago,train,1,1,1,1,1,
chicago__location_268,chicago,train,1,1,1,1,1,
chicago__location_269,chicago,train,1,1,1,1,1,
chicago__location_270,chicago,train,1,1,1,1,1,
chicago__location_271,chicago,train,1,1,1,1,1,
chicago__location_272,chicago,train,1,0,1,1,1,
chicago__location_273,chicago,train,1,1,1,1,1,
chicago__location_274,chicago,train,1,1,1,1,1,
chicago__location_275,chicago,train,1,1,1,1,1,
chicago__location_276,chicago,train,1,1,1,1,1,
chicago__location_277,chicago,train,1,1,1,1,1,
chicago__location_278,chicago,train,1,1,1,1,1,
chicago__location_279,chicago,train,1,1,1,1,1,
chicago__location_280,chicago,train,1,1,1,1,1,
chicago__location_281,chicago,train,1,1,1,1,1,
chicago__location_282,chicago,train,1,1,1,1,1,
chicago__location_283,chicago,train,1,1,1,1,1,
chicago__location_284,chicago,train,1,1,1,1,1,
chicago__location_285,chicago,train,1,1,1,1,1,
chicago__location_286,chicago,train,1,1,1,1,1,
chicago__location_287,chicago,train,1,1,1,1,1,
chicago__location_288,chicago,train,1,1,1,1,1,
chicago__location_289,chicago,train,1,1,1,1,1,
chicago__location_290,chicago,train,1,1,1,1,1,
chicago__location_291,chicago,train,1,1,1,1,1,
chicago__location_292,chicago,train,1,1,1,1,1,
chicago__location_293,chicago,train,1,1,1,1,1,
chicago__location_294,chicago,train,1,1,1,1,1,
chicago__location_295,chicago,train,1,1,1,1,1,
chicago__location_296,chicago,train,1,1,1,1,1,
chicago__location_297,chicago,train,1,1,1,1,1,
chicago__location_298,chicago,train,1,1,1,1,1,
chicago__location_299,chicago,train,1,1,1,1,1,
chicago__location_300,chicago,train,1,1,1,1,1,
chicago__location_301,chicago,train,1,1,1,1,1,
chicago__location_302,chicago,train,1,1,1,1,1,
chicago__location_303,chicago,train,1,1,1,1,1,
chicago__location_304,chicago,train,1,1,1,1,1,
chicago__location_305,chicago,train,1,1,1,1,1,
chicago__location_306,chicago,train,1,1,1,1,1,
chicago__location_307,chicago,train,1,1,1,1,1,
chicago__location_308,chicago,train,1,1,1,1,1,
chicago__location_309,chicago,train,1,1,1,1,1,
chicago__location_310,chicago,train,1,1,1,1,1,
chicago__location_311,chicago,train,1,1,1,1,1,
chicago__location_312,chicago,train,1,1,1,1,1,
chicago__location_313,chicago,train,1,1,1,1,1,
chicago__location_314,chicago,train,1,1,1,1,1,
chicago__location_315,chicago,train,1,1,1,1,1,
chicago__location_316,chicago,train,1,1,1,1,1,
chicago__location_317,chicago,train,1,1,1,1,1,
chicago__location_318,chicago,train,1,1,1,1,1,
chicago__location_319,chicago,train,1,1,1,1,1,
chicago__location_320,chicago,train,1,1,1,1,1,
chicago__location_321,chicago,train,1,1,1,1,1,
chicago__location_322,chicago,train,1,1,0,1,1,
chicago__location_323,chicago,train,1,1,1,1,1,
chicago__location_324,chicago,train,1,1,1,1,1,
chicago__location_325,chicago,train,1,0,1,1,1,
chicago__location_326,chicago,train,1,1,1,1,1,
chicago__location_327,chicago,train,1,1,1,1,1,
chicago__location_328,chicago,train,1,1,1,1,1,
chicago__location_329,chicago,train,1,1,1,1,1,
chicago__location_330,chicago,train,1,1,1,1,1,
chicago__location_331,chicago,train,1,1,1,1,1,
chicago__location_332,chicago,train,1,1,1,1,1,
chicago__location_333,chicago,train,1,1,1,1,1,
chicago__location_334,chicago,train,1,1,1,1,1,
chicago__location_335,chicago,train,1,1,1,1,1,
chicago__location_336,chicago,train,1,1,1,1,1,
chicago__location_337,chicago,train,1,1,1,1,1,
chicago__location_338,chicago,train,1,1,1,1,1,
chicago__location_339,chicago,train,1,1,1,1,1,
chicago__location_340,chicago,train,1,1,1,1,1,
chicago__location_341,chicago,train,1,1,1,1,1,
chicago__location_342,chicago,train,1,1,1,1,1,
chicago__location_343,chicago,train,1,1,1,1,1,
chicago__location_344,chicago,train,1,1,1,1,1,
chicago__location_345,chicago,train,1,1,1,1,1,
chicago__location_346,chicago,train,0,1,1,1,1,
chicago__location_347,chicago,train,1,1,1,1,1,
chicago__location_348,chicago,train,1,1,1,1,1,
chicago__location_349,chicago,train,1,1,1,1,1,
chicago__location_350,chicago,train,1,1,1,1,1,
chicago__location_351,chicago,train,1,1,1,1,1,
chicago__location_352,chicago,train,1,1,1,1,1,
chicago__location_353,chicago,train,1,1,1,1,1,
chicago__location_354,chicago,train,0,0,1,1,1,
chicago__location_355,chicago,train,1,1,1,1,1,
chicago__location_356,chicago,train,1,1,1,1,1,
chicago__location_357,chicago,train,1,1,1,1,1,
chicago__location_358,chicago,train,1,1,1,1,1,
chicago__location_359,chicago,train,1,1,1,1,1,
chicago__location_360,chicago,train,1,1,1,1,1,
chicago__location_361,chicago,train,1,1,1,1,1,
chicago__location_362,chicago,train,1,1,1,1,1,
chicago__location_363,chicago,train,1,1,1,1,1,
chicago__location_364,chicago,train,0,0,1,1,1,
chicago__location_365,chicago,train,1,1,1,1,1,
chicago__location_366,chicago,train,1,0,1,1,1,
chicago__location_367,chicago,train,1,1,1,1,1,
chicago__location_368,chicago,train,1,1,1,1,1,
chicago__location_369,chicago,train,0,1,1,1,1,
chicago__location_370,chicago,train,1,1,1,1,1,
chicago__location_371,chicago,train,1,1,1,1,1,
chicago__location_372,chicago,train,1,1,1,1,1,
chicago__location_373,chicago,train,1,1,1,1,1,
chicago__location_374,chicago,train,1,1,1,1,1,
chicago__location_375,chicago,train,1,1,1,1,1,
chicago__location_376,chicago,train,0,1,1,1,1,
chicago__location_377,chicago,train,1,1,1,1,1,
chicago__location_378,chicago,train,1,1,1,1,1,
chicago__location_379,chicago,train,1,1,1,1,1,
chicago__location_380,chicago,train,1,1,1,1,1,
chicago__location_381,chicago,train,1,1,1,1,1,
chicago__location_382,chicago,train,1,1,1,1,1,
chicago__location_383,chicago,train,1,1,1,1,1,
chicago__location_384,chicago,train,1,1,1,1,1,
chicago__location_385,chicago,train,1,1,1,1,1,
chicago__location_386,chicago,train,1,1,1,1,1,
chicago__location_387,chicago,train,1,1,1,1,1,
chicago__location_388,chicago,train,1,1,1,1,1,
chicago__location_389,chicago,train,1,1,1,1,1,
chicago__location_390,chicago,train,1,1,1,1,1,
chicago__location_391,chicago,train,1,1,1,1,1,
chicago__location_392,chicago,train,1,1,1,1,1,
chicago__location_393,chicago,train,1,1,1,1,1,
chicago__location_394,chicago,train,1,1,1,1,1,
chicago__location_395,chicago,train,1,1,1,1,1,
chicago__location_396,chicago,train,1,1,1,1,1,
chicago__location_397,chicago,train,1,1,1,1,1,
chicago__location_398,chicago,train,1,1,1,1,1,
chicago__location_399,chicago,train,1,1,1,1,1,
chicago__location_400,chicago,train,1,1,1,1,1,
chicago__location_401,chicago,train,1,1,1,1,1,
chicago__location_402,chicago,train,1,1,1,1,1,
chicago__location_403,chicago,train,1,1,1,1,1,
chicago__location_404,chicago,train,1,1,1,1,1,
chicago__location_405,chicago,train,1,1,1,1,1,
chicago__location_406,chicago,train,0,1,1,1,1,
chicago__location_407,chicago,train,1,1,1,1,1,
chicago__location_408,chicago,train,1,1,1,1,1,
chicago__location_409,chicago,train,1,1,1,1,1,
chicago__location_410,chicago,train,1,1,1,1,1,
chicago__location_411,chicago,train,1,1,1,1,1,
chicago__location_412,chicago,train,1,1,1,1,1,
chicago__location_413,chicago,train,1,1,1,1,1,
chicago__location_414,chicago,train,1,1,1,1,1,
chicago__location_415,chicago,train,1,1,1,1,1,
chicago__location_416,chicago,train,1,1,1,1,1,
chicago__location_417,chicago,train,1,1,1,1,1,
chicago__location_418,chicago,train,1,1,1,1,1,
chicago__location_419,chicago,train,1,1,1,1,1,
chicago__location_420,chicago,train,1,1,1,1,1,
chicago__location_421,chicago,train,1,1,1,1,1,
chicago__location_422,chicago,train,1,1,1,1,1,
chicago__location_423,chicago,train,1,1,1,1,1,
chicago__location_424,chicago,train,1,1,1,1,1,
chicago__location_425,chicago,train,1,1,1,1,1,
chicago__location_426,chicago,train,1,1,1,1,1,
chicago__location_427,chicago,train,1,1,1,1,1,
chicago__location_428,chicago,train,1,1,1,1,1,
chicago__location_429,chicago,train,1,1,1,1,1,
chicago__location_430,chicago,train,0,1,1,1,1,
chicago__location_431,chicago,train,1,1,1,1,1,
chicago__location_432,chicago,train,1,1,1,1,1,
chicago__location_433,chicago,train,1,1,1,1,1,
chicago__location_434,chicago,train,1,1,0,1,1,
chicago__location_435,chicago,train,1,1,1,1,1,
chicago__location_436,chicago,train,1,1,1,1,1,
chicago__location_437,chicago,train,1,1,1,1,1,
chicago__location_438,chicago,train,1,1,1,1,1,
chicago__location_439,chicago,train,1,1,1,1,1,
chicago__location_440,chicago,train,1,1,1,1,1,
chicago__location_441,chicago,train,1,1,1,1,1,
chicago__location_442,chicago,train,1,1,1,1,1,
chicago__location_443,chicago,train,1,1,1,1,1,
chicago__location_444,chicago,train,1,1,1,1,1,
chicago__location_445,chicago,train,1,1,1,1,1,
chicago__location_446,chicago,train,1,1,1,1,1,
chicago__location_447,chicago,train,1,1,1,1,1,
chicago__location_448,chicago,train,1,1,1,1,1,
chicago__location_449,chicago,train,1,1,1,1,1,
chicago__location_450,chicago,train,1,1,1,1,1,
chicago__location_451,chicago,val,1,1,1,1,1,
chicago__location_452,chicago,val,1,1,1,1,1,
chicago__location_453,chicago,val,1,1,1,1,1,
chicago__location_454,chicago,val,1,1,1,1,1,
chicago__location_455,chicago,val,1,1,1,1,1,
chicago__location_456,chicago,val,1,1,1,1,1,
chicago__location_457,chicago,val,1,1,1,1,1,
chicago__location_458,chicago,val,1,1,1,1,1,
chicago__location_459,chicago,val,1,1,1,1,1,
chicago__location_460,chicago,val,1,1,1,1,1,
chicago__location_461,chicago,val,1,1,1,1,1,
chicago__location_462,chicago,val,1,1,1,1,1,
chicago__location_463,chicago,val,1,1,1,1,1,
chicago__location_464,chicago,val,1,1,1,1,1,
chicago__location_465,chicago,val,1,1,1,1,1,
chicago__location_466,chicago,val,1,1,1,1,1,
chicago__location_467,chicago,val,1,1,1,1,1,
chicago__location_468,chicago,val,1,1,1,1,1,
chicago__location_469,chicago,val,1,1,1,1,1,
chicago__location_470,chicago,val,1,1,1,1,1,
chicago__location_471,chicago,val,1,1,1,1,1,
chicago__location_472,chicago,val,1,1,1,1,1,
chicago__location_473,chicago,val,1,1,1,1,1,
chicago__location_474,chicago,val,1,1,1,1,1,
chicago__location_475,chicago,val,1,1,1,1,1,
chicago__location_476,chicago,test,1,1,1,1,1,
chicago__location_477,chicago,test,1,1,1,1,1,
chicago__location_478,chicago,test,1,1,1,1,1,
chicago__location_479,chicago,test,1,1,1,1,1,
chicago__location_480,chicago,test,1,1,1,1,1,
chicago__location_481,chicago,test,1,1,1,1,1,
chicago__location_482,chicago,test,1,1,1,1,1,
chicago__location_483,chicago,test,1,1,1,1,1,
chicago__location_484,chicago,test,1,1,1,1,1,
chicago__location_485,chicago,test,1,1,1,1,1,
chicago__location_486,chicago,test,1,1,1,1,1,
chicago__location_487,chicago,test,1,1,1,1,1,
chicago__location_488,chicago,test,0,1,1,1,1,
chicago__location_489,chicago,test,1,1,1,1,1,
chicago__location_490,chicago,test,1,1,1,1,1,
chicago__location_491,chicago,test,1,1,1,1,1,
chicago__location_492,chicago,test,1,1,1,1,1,
chicago__location_493,chicago,test,1,1,1,1,1,
chicago__location_494,chicago,test,1,1,1,1,1,
chicago__location_495,chicago,test,1,1,1,1,1,
chicago__location_496,chicago,test,1,1,1,1,1,
chicago__location_497,chicago,test,1,1,1,1,1,
chicago__location_498,chicago,test,1,1,1,1,1,
chicago__location_499,chicago,test,1,1,1,1,1,
chicago__location_500,chicago,test,0,1,1,1,1,
newyork__location_1,newyork,train,1,1,1,1,1,
newyork__location_2,newyork,train,1,1,1,1,1,
newyork__location_3,newyork,train,1,1,1,1,1,
newyork__location_4,newyork,train,1,1,1,1,1,
newyork__location_5,newyork,train,0,1,1,1,1,
newyork__location_6,newyork,train,1,1,1,1,1,
newyork__location_7,newyork,train,1,1,1,1,1,
newyork__location_8,newyork,train,1,1,1,1,1,
newyork__location_9,newyork,train,1,1,1,1,1,
newyork__location_10,newyork,train,1,1,1,1,1,
newyork__location_11,newyork,train,1,1,1,1,1,
newyork__location_12,newyork,train,1,1,1,1,1,
newyork__location_13,newyork,train,1,1,1,1,1,
newyork__location_14,newyork,train,1,1,1,1,1,
newyork__location_15,newyork,train,1,1,1,1,1,
newyork__location_16,newyork,train,1,1,1,1,1,
newyork__location_17,newyork,train,1,1,1,1,1,
newyork__location_18,newyork,train,1,1,1,1,1,
newyork__location_19,newyork,train,1,1,1,1,1,
newyork__location_20,newyork,train,1,1,1,1,1,
newyork__location_21,newyork,train,1,1,1,1,1,
newyork__location_22,newyork,train,1,1,1,1,1,
newyork__location_23,newyork,train,1,1,1,1,1,
newyork__location_24,newyork,train,1,1,1,1,1,
newyork__location_25,newyork,train,1,1,1,1,1,
newyork__location_26,newyork,train,1,1,1,1,1,
newyork__location_27,newyork,train,1,1,1,1,1,
newyork__location_28,newyork,train,1,1,1,1,1,
newyork__location_29,newyork,train,1,1,1,1,1,
newyork__location_30,newyork,train,1,1,1,1,1,
newyork__location_31,newyork,train,1,1,1,1,1,
newyork__location_32,newyork,train,1,1,1,1,1,
newyork__location_33,newyork,train,1,1,1,1,1,
newyork__location_34,newyork,train,1,1,1,1,1,
newyork__location_35,newyork,train,1,1,1,1,1,
newyork__location_36,newyork,train,1,1,1,1,1,
newyork__location_37,newyork,train,1,1,1,1,1,
newyork__location_38,newyork,train,1,1,1,1,1,
newyork__location_39,newyork,train,1,1,1,1,1,
newyork__location_40,newyork,train,1,1,1,1,1,
newyork__location_41,newyork,train,1,0,1,1,1,
newyork__location_42,newyork,train,1,0,1,1,1,
newyork__location_43,newyork,train,1,1,1,1,1,
newyork__location_44,newyork,train,1,1,1,1,1,
newyork__location_45,newyork,train,1,1,1,1,1,
newyork__location_46,newyork,train,1,1,1,1,1,
newyork__location_47,newyork,train,1,1,1,1,1,
newyork__location_48,newyork,train,1,1,1,1,1,
newyork__location_49,newyork,train,1,0,1,1,1,
newyork__location_50,newyork,train,1,1,1,1,1,
newyork__location_51,newyork,train,1,1,1,1,1,
newyork__location_52,newyork,train,1,1,1,1,1,
newyork__location_53,newyork,train,1,0,1,1,1,
newyork__location_54,newyork,train,1,1,1,1,1,
